"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","PF","PTS","Awards"
"165","komivho01",1974,"Howard Komives",32,"KCO","PG",44,830,78,192,0.406,78,192,0.406,0.406,33,38,0.868,10,33,43,97,32,3,83,189,""
"166","abdulma01",1974,"Walt Hazzard",31,"SEA","PG",49,571,76,180,0.422,76,180,0.422,0.422,34,45,0.756,18,39,57,122,26,6,78,186,""
"167","rulebo01",1974,"Bob Rule",29,"CLE","C",26,540,76,192,0.396,76,192,0.396,0.396,34,46,0.739,43,60,103,47,12,10,71,186,""
"168","rileyro01",1974,"Ron Riley",23,"2TM","PF",48,591,81,202,0.401,81,202,0.401,0.401,24,38,0.632,48,129,177,37,18,24,95,186,""
"169","awtrede01",1974,"Dennis Awtrey",25,"CHI","C",68,756,65,123,0.528,65,123,0.528,0.528,54,94,0.574,49,125,174,86,22,14,128,184,""
"170","adelmri01",1974,"Rick Adelman",27,"CHI","PG",55,618,64,170,0.376,64,170,0.376,0.376,54,76,0.711,16,53,69,56,36,1,63,182,""
"171","williar01",1974,"Art Williams",34,"BOS","PG",67,617,73,168,0.435,73,168,0.435,0.435,27,32,0.844,20,95,115,163,44,3,100,173,""
"172","washike01",1974,"Kermit Washington",22,"LAL","PF",45,400,73,151,0.483,73,151,0.483,0.483,26,49,0.531,62,85,147,19,21,18,77,172,""
"173","weslewa01",1974,"Walt Wesley",29,"CAP","C",39,400,71,151,0.47,71,151,0.47,0.47,26,43,0.605,63,73,136,14,9,20,74,168,""
"174","willimi01",1974,"Milt Williams",28,"SEA","PG",53,505,62,149,0.416,62,149,0.416,0.416,41,63,0.651,19,28,47,103,25,0,82,165,""
"175","schluda01",1974,"Dale Schlueter",28,"ATL","C",57,547,63,135,0.467,63,135,0.467,0.467,38,50,0.76,54,101,155,45,25,22,84,164,""
"176","boerwto01",1974,"Tom Boerwinkle",28,"CHI","C",46,602,58,119,0.487,58,119,0.487,0.487,42,60,0.7,53,160,213,94,16,18,80,158,""
"177","garrero01",1974,"Rowland Garrett",23,"CHI","SF",41,373,68,184,0.37,68,184,0.37,0.37,21,32,0.656,31,39,70,11,5,9,43,157,""
"178","chambbi01",1974,"Bill Chamberlain",24,"PHO","SF",28,367,57,130,0.438,57,130,0.438,0.438,39,56,0.696,33,47,80,37,20,12,74,153,""
"179","mcdanji01",1974,"Jim McDaniels",25,"SEA","C",27,439,63,173,0.364,63,173,0.364,0.364,23,43,0.535,51,77,128,24,7,15,48,149,""
"180","finkeha01",1974,"Hank Finkel",31,"BOS","C",60,427,60,130,0.462,60,130,0.462,0.462,28,43,0.651,41,94,135,27,3,7,62,148,""
"181","countme01",1974,"Mel Counts",32,"LAL","C",45,499,61,167,0.365,61,167,0.365,0.365,24,33,0.727,56,90,146,54,20,23,85,146,""
"182","kozelto01",1974,"Tom Kozelko",22,"CAP","PF",49,573,59,133,0.444,59,133,0.444,0.444,23,32,0.719,52,72,124,25,21,7,82,141,""
"183","ellisjo01",1974,"Joe Ellis",29,"GSW","SF",50,515,61,190,0.321,61,190,0.321,0.321,18,31,0.581,37,85,122,37,33,9,76,140,""
"184","ingelto01",1974,"Tom Ingelsby",22,"ATL","PG",48,398,50,131,0.382,50,131,0.382,0.382,29,37,0.784,10,34,44,37,19,4,43,129,""
"185","tschojo01",1974,"John Tschogl",23,"ATL","SF",64,499,59,166,0.355,59,166,0.355,0.355,10,17,0.588,33,43,76,33,17,20,69,128,""
"186","laytomo01",1974,"Mo Layton",25,"POR","PG",22,327,55,112,0.491,55,112,0.491,0.491,14,26,0.538,7,26,33,51,9,1,45,124,""
"187","cannola01",1974,"Larry Cannon",26,"PHI","SG",19,335,49,127,0.386,49,127,0.386,0.386,19,28,0.679,16,20,36,52,7,4,48,117,""
"188","hankiph01",1974,"Phil Hankinson",22,"BOS","SF",28,163,50,103,0.485,50,103,0.485,0.485,10,13,0.769,22,28,50,4,3,1,18,110,""
"189","winfile01",1974,"Lee Winfield",26,"BUF","PG",36,433,37,105,0.352,37,105,0.352,0.352,33,52,0.635,19,24,43,47,15,5,42,107,""
"190","freemro01",1974,"Rod Freeman",23,"PHI","SF",35,265,39,103,0.379,39,103,0.379,0.379,28,41,0.683,22,32,54,14,12,1,42,106,""
"191","hawthna01",1974,"Nate Hawthorne",24,"LAL","SG",33,229,38,93,0.409,38,93,0.409,0.409,30,48,0.625,16,16,32,23,9,6,33,106,""
"192","nashbo01",1974,"Bob Nash",23,"DET","SF",35,281,41,115,0.357,41,115,0.357,0.357,24,39,0.615,31,43,74,14,3,10,35,106,""
"193","vergabo01",1974,"Bob Verga",28,"POR","SG",21,216,42,93,0.452,42,93,0.452,0.452,20,32,0.625,11,7,18,17,12,0,22,104,""
"194","garredi01",1974,"Dick Garrett",27,"2TM","SG",40,326,43,126,0.341,43,126,0.341,0.341,15,19,0.789,15,25,40,23,10,1,56,101,""
"195","leeru01",1974,"Russ Lee",24,"MIL","SF",36,166,38,94,0.404,38,94,0.404,0.404,11,16,0.688,16,24,40,20,11,0,29,87,""
"196","kelsobe01",1974,"Ben Kelso",24,"DET","SG",46,298,35,96,0.365,35,96,0.365,0.365,15,22,0.682,15,16,31,18,12,1,45,85,""
"197","davisme01",1974,"Mel Davis",23,"NYK","PF",30,167,33,95,0.347,33,95,0.347,0.347,12,16,0.75,17,37,54,8,3,4,36,78,""
"198","downist01",1974,"Steve Downing",23,"BOS","C",24,137,21,64,0.328,21,64,0.328,0.328,22,38,0.579,14,25,39,11,5,0,33,64,""
"199","johnsge01",1974,"George Johnson",26,"HOU","C",26,238,23,51,0.451,23,51,0.451,0.451,8,17,0.471,20,41,61,9,8,8,46,54,""
"200","owensji01",1974,"Jim Owens",23,"PHO","SF",17,101,21,39,0.538,21,39,0.538,0.538,11,14,0.786,1,8,9,15,5,0,6,53,""
"201","macalmi01",1974,"Mike Macaluso",22,"BUF","SF",30,112,19,44,0.432,19,44,0.432,0.432,10,17,0.588,10,15,25,3,7,1,31,48,""
"202","siblema01",1974,"Mark Sibley",23,"POR","SG",28,124,20,56,0.357,20,56,0.357,0.357,6,7,0.857,9,16,25,13,4,1,23,46,""
"203","rikerto01",1974,"Tom Riker",23,"NYK","C",17,57,13,29,0.448,13,29,0.448,0.448,12,17,0.706,9,6,15,3,0,0,6,38,""
"204","davisch01",1974,"Charlie Davis",24,"POR","SG",8,90,14,40,0.35,14,40,0.35,0.35,3,4,0.75,2,9,11,11,2,0,7,31,""
"205","ruffnpa01",1974,"Paul Ruffner",25,"BUF","C",20,51,11,27,0.407,11,27,0.407,0.407,8,13,0.615,4,7,11,0,1,1,10,30,""
"206","barnedi01",1974,"Dick Barnett",37,"NYK","SG",5,58,10,26,0.385,10,26,0.385,0.385,2,3,0.667,1,3,4,6,1,0,2,22,""
"207","mckenst01",1974,"Stan McKenzie",29,"HOU","SG",11,112,7,24,0.292,7,24,0.292,0.292,6,8,0.75,3,13,16,6,3,0,17,20,""
"208","rackllu01",1974,"Luther Rackley",27,"PHI","C",9,68,5,13,0.385,5,13,0.385,0.385,8,11,0.727,5,17,22,0,3,4,11,18,""
"209","marshve01",1974,"Vester Marshall",25,"SEA","SF",13,174,7,29,0.241,7,29,0.241,0.241,3,7,0.429,14,23,37,4,4,3,20,17,""
"210","reavejo01",1974,"Joe Reaves",23,"PHO","SF",7,38,6,11,0.545,6,11,0.545,0.545,4,11,0.364,2,6,8,1,0,2,6,16,""
"211","manakte01",1974,"Ted Manakas",22,"KCO","SG",5,45,4,10,0.4,4,10,0.4,0.4,4,4,1,0,3,3,2,1,0,4,12,""
"212","rinalri01",1974,"Rich Rinaldi",24,"CAP","SG",7,48,3,22,0.136,3,22,0.136,0.136,3,4,0.75,2,5,7,10,3,1,7,9,""
"213","terrych01",1974,"Chuck Terry",23,"MIL","SF",7,32,4,12,0.333,4,12,0.333,0.333,0,0,NA,1,2,3,4,2,0,4,8,""
"214","cunnidi01",1974,"Dick Cunningham",27,"MIL","C",8,45,3,6,0.5,3,6,0.5,0.5,0,7,0,1,15,16,0,2,2,5,6,""
"215","mcguial02",1974,"Allie McGuire",22,"NYK","SG",2,10,2,4,0.5,2,4,0.5,0.5,0,0,NA,0,2,2,1,0,0,2,4,""
"216","granttr01",1974,"Travis Grant",24,"LAL","SF",3,6,1,4,0.25,1,4,0.25,0.25,1,3,0.333,0,1,1,0,0,0,1,3,""
"217","garviji01",1974,"Jim Garvin",23,"BUF","PF",6,11,1,4,0.25,1,4,0.25,0.25,0,0,NA,1,4,5,0,0,0,1,2,""
"218","mccrapa01",1974,"Paul McCracken",23,"HOU","SG",4,13,1,4,0.25,1,4,0.25,0.25,0,0,NA,1,5,6,2,0,0,3,2,""
"219","thigpju01",1974,"Justus Thigpen",26,"KCO","SG",1,2,1,3,0.333,1,3,0.333,0.333,0,0,NA,1,0,1,0,0,0,0,2,""
"220","patteto01",1974,"Tom Patterson",25,"CAP","SF",2,8,0,1,0,0,1,0,0,1,2,0.5,1,1,2,2,0,0,0,1,""
"221","bellde01",1974,"Dennis Bell",22,"NYK","SF",1,4,0,1,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,""
"222","ratlimi01",1974,"Mike Ratliff",22,"KCO","C",2,4,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,""
